"NAMA","KOMENTAR"
"hendri.prasetiyo.25","Jadi begini para pelaku cerita fiktif yang terbawa ceritanya lalu ke dunia nyata begitu dahsyat nya dunia selebrita😔"
"siskaparis","Klw selingkuh itu mmg asik,ber bungga2 dy rasanya 👍😂🤣"
"sasha.mua","Nanas busyuk ini kayaknya pengen uji nyali ya gaesss seberapa kuat power netijen ngasih hujatan .coba deh nass lo buka kolom komennye terus dibaca .lu resapi dah tu"
"astrid_niken","Salut mba lady👍👍benar! lepaskan, ikhlaskan.. alias buang!"
"chandra_cebong","Gimana perasaan anak kalian?😢"
"putrymode","Pas udh di tag langsung padi buru2 matiin komentar di IG takut di serbu netizen dgn kata2 mutiara 🤣🤣🥴🥴"
"ndrewiliam_98","Hebat loh masih bertahan sampe saat ini 🥲"
"pattikawaearty","Pengen berkata kasar liatt bukti2 ini...😂"
"dinixsansan","Kira2 bisa tidur gk ya setelah di tag😢😢"
"syauqi1987","Kepo nih klo chek in gtu ngapain ya?upss ...lupaa kan suami kuuhh😂"
"agrswntyni","ini mah cewek nya yg gatel anjir,,,"
"mariana.ana01","😂gileeee skarang mah kudu pinter bini, aplikasi gojek wat chat selingkuhan 😂 emak2 langsung beraksi, strategi marketing gojek makin janggih ."
"wonder.wita","Cinta ini kadang kandang tak ada logika😂👏"
"triya3366","Gw nyari suami yg baik aja sshnya minta ampun, ini udah dpt suami baik mlh selingkuh, jd teringat pas dl suamiku selingkuh, sungguh sampai sekarang rasaku sdh mati untuk yg namanya kaum laki""."
"deviiek_","Tp istrinya RK udah sabar & dewasa banget tau menyikapinya sampe udah setaun dipendem gila kalo aku mah udah ngreyog"
"yetirhyt69","Selingkuh itu kurang imannya..."
"mia.doank.1650","Yg lugu aja nyampe loh bgtu . Mau heran .lagi2 cinlok"
"triarvar","Bener gak ya perselingkuhan ini 😍"
"dinda_elqoyyim","Q cuman penasaran, ibunya rafi sm shanaz ni hebat ya, amalan apa ya yg bkin anaknya dpat jodoh yg baik n sbar gtu. Pdhal lebel ""suka selingkuh"" uda disandang sblum nikah. 😏😌😂"
"farakprr","gamau tau urusan orang ah"
"vkhairunisa","alay bgt chat nya"
"ria_fatikha","Kok mau maunya y kelurin uang buat lelaki,, klo ku sih ogh beud,, ya tau lah cari uang itu Gak Segmpang ituuuu,, Lalala🤭"
"magda_lia.y","Pernikahannya msh tergolong blm lama jg. Tp dah brani slingkuh. Sangat pemberani si nanas. Jd kyk Raffi 😂😂"
"ferry_asenk","Dah lah ..ikhlasin aja ..atau poligami aja ...beres.."
"nda_nabillah","Jijik asli gw baca chatingan mereka..trs ini udh smpt ketauan tp malah lanjut lagi.gk nyngka syahnaz ihhhh ...aduh gmn itu ya aa raffi bkl kecewa bgt"
"indree1396","Jijik banget chatnya.. Muach muach segala. Ayang suami istri. 😂"
"ida_qs","Tamat Riwayatnya tuh,gk bisa lagi mendompleng ketenaran lagi,krn sudah smua sudah tahu boroknya,naidzubillah"
"waki_ngalam","Anjiiiir panggil suami ku dn istriku 😮😮😮😮 gimn dgn suami sah shanaz, masih mau balik sama istrimu yg dng sadar manggil suami orang suami ku 😂😂😂"
"chus.far","Mungkin fantasinya berbeda dari yang sebelumnya....🤔"
"pustakahuni","Kok tatonya malah mirip wajah mayang 😂"
"susysusanty01","Wah ada nomor wa nya yg nggak ke sensor hehehe"
"noehafiz","Kecium juga dah tuhh😁😁"
"jefanggasilalahi","Ya udah yg selingkuh sana bersatu.. Dan Kita Para Netijen.. Gimana Klo Menyatukan Dua Korban Yg Di Selingkuhi.. Setuju gak klo Ladynayoan sama Jeje Dipersatukan dalam rumah tangga nanti nya.."
"aqeella_ghina","Udah keturunan gak sih😮"
"aby.gusion","Jadi inget Bily pas di acara bareng dia dan kknya dia"
"hamika.i","Naudzubillah ini perempuan nyari apa sih smpe gitu bgt ke suaminya orang"
"alwi_fahry","Definisi gk pinter bersyukur ya 😂"
"jml.maljam","PERBANYAK BERSYUKURRR 😍"
"adrrrriana_","Geli bgt baca chatnya udh kyk anak smp lg kasmaran"
"rien_pambudi","Kurang bersyukur.... 😢"
"chairunnissa_123","Makin kesini makin kesana 🤣"
"namain_saja","Kadang bingung y yg dicari itu apalagi sih.. anak udah ada kerjaan ada rumah mobil punya semua mau jalan"" kemana aja bisa..tinggal nikmati hidup g usah cari gara"" adem ayem suami istri enak kan tapi masih ada yg nyeleweng kalo g si laki y si bini nya.. hmmm dunia"" selalu ada cerita baru"
"mochnoerfs","Kalo udh anggapan suami istri gini,sebelumnya apakah sudah..........?"
"kurinnrr","Geli banget baca nya😆😆😆"
"reneesutjipto","Kandangin ajalah si S ma si R,perzinahan....muak bgt baca chatnya 🤮🤮🤮 "
"id_parfumed","Jeje kamu sempurna kok kurang banyak emot aja mungkin hahaha"
"bundabiiya","Banyak yang mengidolakan suami mu mba @syahnazs dimana rasa syukurmu"
"vie0183","Semoga segera ada jalan terang"
"bakpiamasaji.blitar","Definisi wanita tidak pandai bersyukur"
"dhikaheaven","Suami nya S santuy responnya mungkin dia selingkuh juga dan gak mau pisah karna keluarga sultan 🤭"
"rizkydwisptra","Viral jalur hina"
"halimah_brandmatahari4090","Tapi kok dirasa seperti setingan ya 😮"
"hdtaufik___","Lagi tren yaa selingkuh"
"zulll_naen","Jika belum tau arti ijab dan qobul jangan pernah bilang saya siap menikah tolong sekali lagi jangan bilang siap menikah walaupun selalu terucap "" aku yakin sama kamu""  itu omong kosong . Jika Ternyata apa Janji di atas Al-qur'an di saksikan kedua orang tua masing msaing  dan di dengar sang haliq di do'a kan beribu malaikat untuk janji suci itu , ternyata masih saja di ingkari , , Astagfirulloh'all'azim😮‍💨"
"mand.adhia","Hobi kok selingkuh ...😂😂😂😂😂😂😂"
"sususgm123","Buat naikin pamor doangan"
"ayoe_syafrial","Chat aja begitu pake suami ku dan istri Ku dan saat berjumpa bisa kemungkinan melakukan yg mereka panggil suami dan istri jangan2 .. Seperti BOCIL yg lagi mabuk Asmara .. Ngeri kali ..."
"mayathea5","Pernah di posisi istri nyah rendy aku lagi hamil sampi 8 bln anak lahir saking ngebatin nya jadi mengganggu dan smpi sekarang anak sudah besar ,aku takut untuk rumah tangga lagi single 10 thn alhamdulillah lebih bahagia besarin anak walw harus kerja ke arab 😢#womensuportwomen"
"ms_independent______","Si shanaz wanita ter-bodoh menurut gw"
"lella_zahro","Kek anak esempe suami istri segala"
"slv_hmsn","Aku aja ga pernah di bilang dadah istri 🥲 @aditjudo_"
"batik_berau","Jadi percaya dengan namanya puber kedua"
"arian7262","Wahai kalian perempuan yang sedang dalam fase selingkuh percayalah kalian hanya jadi pelampiasan nafsu laki laki selingkuhan kalian itu."
"nonanonaria","Tolong chat nya yg di aplikasi ojek² itu ditulis Gaiiiisss, di aku ngeblur ga kliatan huhuhu 😭"
"cintarhizma","Istri yg hebat dan kuat bisa tetap bertahan walaupun sudah tau di selingkuhi."
"rina_g87"," komentar tembuss 37k😂😂"
"yogayozzzsu","Mudah-mudahan bisa terselesaikan masalahnya....apapun keputusan mereka mungkin itu yg terbaik dan sudah jalannya...."
"s.fatmah16","Gak bersyukur punya suami baik malah selingkuh.parah.sok kecantikan sih loh🤪🤪🤪"
"rikakitty07","Yg sedang menghebohkan jagat raya para Netizen amaziiing😎😎😂😂"
"anisafffu","Syahnaz siapa sih? Kuper banget aku ternyata"
"risnahendrawan17","Ternyata tidak cuma makan aja  yg ad di gojek tapi suami orang juga ada 🤣🤣"
"anee_ta13"," kalo sekelas rafi apa ya blm siap juga kira2? 🤣🤣 itu kayaknya udah genetika keluargaa 😂"
"amel.t.girl","Masih belum percaya"
"ristaariadi","Kerja kerja nitezen jangan ngurusin kehidupan artis... Mereka lagi gencar gencarnya tuh nerima endors 👏🏿👏🏿👏🏿😂😂😂😂😂"
"iena_chick","adeknya sultan andara ini bosss 😂memalukan ga sih ????😂"
"imoelpetshop","SAyang ...Sayang...jangan Lupa MATI ya... Liang lahat nungguin tuh 😂😂😂"
"kaceca_","GA nyangka banget padahal muka sepolos itu aja bisa ketauan Uh sayang banget"
"barrassam","@amy_r_qanita  tolong dibimbing anak nya bund"
"dimas.revangga","Kasihan Jeje 😢 kuat yaa broo @ritchieismail 🤲"
"diya.karda","Keluarga amad lagi jadi omongan Seindonesia raya"
"wulanwinardhi","Semakin banyak yg instal Gojek👏😂"
"retnavn","ternyata typing nya jamet abis😘"
"fadilah_adehen","Sesuatu yg disembunyikan degan rapih, tuhan spill dengan cara yg sempurna ✌🏾"
"cs.wijaya","Jd punya ide baru nih cara buat selingkuh"
"fikriarsyansah","halah paling naikkin film mereka aja 👏"
"alunarevalina","Definisi udah hidup enak tapi kurang bersyukur gini nih 🙄😢"
"ardhiyan_ard","Kurangnya rasa syukur, kenikmatan sesaat membutakan logika seseorang. . .aku yakin ketika SAH akan berbeda cerita nya😂😂😂😂..pelajaran ya buat yg masih waras..semoga kita tetap pakai akal waras kita,🤲🤲🥺"
"p4intel","wajarlah... yang lebih cantik dan goyangannya hebat itu yg di incar"
"ehh_yoooo","nanti sih ujungnya khilaf🗿"
"faa_ifaah","Jeje adalah nagita versi cowonya yakin gak bakal pisah 😁"
"kelvinnurrabbani","Emang siapa mereka sih? Aku tidak tau"
"nicka_monica","tidak menyangka 🤣"
"isma.ris","Aku yg bacanya tersipu malu seolah2 kembali tahun 90an kala masih anak² ☺☺"
"nothinghere141220","parah ih, bikin malu aja sih lu @syahnazs 😢"
"eva.laela27","Jadi gak suka sama sanas.gak ngerti bersyukur .nyiksa pikiran orang tua"
"setiaindahtobing96","Wow ngapain ya kira2 Rendy kerumah syahnaz saat suaminya syahnaz,jeje lagi dilondon.dan ini sudah kedua kalinya lho mereka ketahuan selingkuh sama istrinya rendy."
"debi_ra.ra8196","Shanaz bener2 lu yaa,, gmna klu lu diposisi isrti nya niii,, gk kbayang kn sakitnya, dasar lu ya otak jorok, sesama perempuan lu hrusny tau dmpak prsaan istrinya gmna, krna Lo prmpuan Naz,, ksian anak2 kluarga, krna lu mmentingkn knikmatan sesaat,,"
"putriindah.pis","Susah kalo orang kurang ilmu agamanya,, yang dilihat nikmat duniawi saja.. semangat mas @ritchieismail mungkin ada takdir yg lebih baik di depan... 🔥🤲"
"karin_shihab89","indonesia gak rame kalau gak bikin sensasi 😂"
"nok_ncup","Kalau sudah selingkuh di maafin berapa puluh kali pun bakal ngulang selingkuh lagi"
"kaeti_ay","Nyimak aja lah, nunggu episode selanjutnya"
"muhferdiawan__","Ada apa ini kok rame banget wahai netizen"
"mumunmimuet","Dia tanpa kakaknya bukan apa apa gk sih"
"bella_permata09","Padahal jeje suami nya syahnaz ganteng loh,kurang apa coba, ya allah ya allah, dah lah bang jeje sama aku aja "
"zeinzec","Gak nyangka ya mba @syahnazs"
"liapsjy","Nanas apa ga ribet ya ngurus anak kembar balita, sempet nya ada waktu selingkuh. Orang mah boro2, mandi pagi dan sarapan aja belum..tau2 udah mau makan siang. Hidup lu enak bisa gitu ternyata"
"mayaselaa","Yakin itu syahnaz yg beliin atau bayarin hotel??Bukan cuma pembelaan suami nyaa aja?"
"originaltea77","Selingkuh lagi👏"
"novhamaharanie_nm","kok suaminya diem aja yaa tau istrinya gitu...sayang kali kan ipar nya kaya Raya jadi akan selalu di maafkan sekalipun kesalahan selingkuh..."
"latiftokx_89","Aku jadi inget pas aku punya pacar bucin deh"
"anjarerpe__","Seru banget yaa selingkuh😂😂"
"yuna_faiz3","Rumah tangga sudah ada yang selingkuh ibarat rumah yang sudah di makan rayap, harus di robohkan dan buat pondasi baru dengan kata lain cerai dan ganti pasangan."
"anee_wulan","kalo ga sama nanas kagak jadi keluarga andara lg dong jeje 😢"
"herty_etty","Geli baca y semacam bocah lagi jatuh cinta bgt 😮😮😮😮"
"aspingiro","malunya pake banget"
"riesty.w","chat lewat gojek, shoope juga bisa, banyak aplikasi yang bisa sekarang, waspada ya gaes"
"vvepii_","Yah engga belajar dari yang lain apa ya , ntar ga boleh muncul ditipi loh ya .. aduh .."
"vizzta","Mungkin kurang puas sama pasangannya makanya cari yg lain ya @syahnazs . Banyak2 bersyukur lah."
"elisa.hatzlr","Idih ketikan lu kek jamett 😂😂😂"
"mutiaherdiyanti_s","""Ga puas"" Kali 🔥"
"aliarh17","Selingkuh itu penyakit, udah ketahuan beberapa kali tapi ngulangin lagi itu udh termasuk penyakit🤣"
"hansenbonatua","Ada isu apa nih yang sedang ditutupin"
"ny_adhi","Auto mulai sekarang istri pada buka"" Aplikasi gojek milik suami nih 😁🤭"
"_umimstrhs","Padahal kayaknya bahagia banget ya sama suaminya"
"lilizanobia","Jeje adalah suami yang di inginkan semua orang malah di sia sia in 🫠"
"goodyummy97","Tatonya bukannya mirip istri rendy yah"
"gitaokita","buat naikin filmnya"
"elanharsa","Gatal begt yang cewe"
"anispralambang","Kok geli baca chat nya 💩 @hardikayoga"
"rannyprhtn","Pdahal mereka sama sama punya pasangan yg cantik dan ganteng gak si 😢"
"anone.april","tidak menyangka ya"
"ochariyyen10","Kalo Masi sekedar chat atau jalan berdua Masi di maafkan tapi kalo sudah celupkan tehnya ..mendigan pisah si Jeje kasian suami nya szanas dan istrinya Rian itu mereka kerasukan setan"
"titiek_arianty","Maraknya perselingkuhan 😢"
"makaronipedas_","Serem bgt tatonya sampe full gitu, gasakit apa yak"
"aumylansari","Hayo .. coba pada buka aplikasi  shopee, lazada, gojek, sama Hugo 😂😂😂 coba dicari ya di hp pasangannya 😂😂😂 gak ada apa2  kok yank, cuma main game, padahal chat nya 😂😂😂"
"adeayurizkii","chatnya gitu banget geli 😂😂😂😂"
"ana_asyifa_ramadhani","Pantasan harga nanas lagi naik.. saya kira karena momen mau lebaran.. ternyata lagi rame masuk lambe...🤦🏼‍♀️🤦🏼‍♀️🤭🤭"
"astagalleria","Kunci yang bisa membuka banyak gembok disebut kunci master. Tapi gembok yang bisa dibuka oleh banyak kunci, adalah gembok rusak."
"enatrisnadewi","Kemudian sinetron mereka pun keluar, netizen baper kena gimick😂😂😂😂"
"daniellchenn","sudah mendarah daging ya?"
"lintang.arf","Kok bisa kepikiran ya chatan di gojek🤔 aku malah baru tau di gojek bisa chatan"
"novembry_titahena","Sepertinya turun temurun 😏"
"itohadinda","ga nyangka ka rendy bisa selingkuh 😭😭 kirain orangnya setia 😭 padahal ngefans banget 😭"
"utami_putriii19","Jangan perawatan muka aja yg mahal tapi harga diri jg mahal dong mbak nya @syahnazs"
"its.nviana","Geli banget baca chat nya "
"cempaka_apsella","Sudah sudah doakan sajah supaya disegerakan sadar dan tidak mengulanginya lagi"
"mbkwindy22","AKU CuMA PENASARAN BAGAIMANA RUMAH TaNGGA SANAS SELANJUTNYA😌"
"kimicatering.id","Di hotel ngapain kira-kira?"
"nurul_ekaputri","Kalo dah penyakit selingkuh gini susah sembuhnya..."
"nk117spti","tidak menyangka"
"hanif_masyhurii","Wahh parah sih ini 😂🔥"
"septynrh","Harusnya boikot jadi public figure🔥🔥🔥🔥"
"mori_v.an","Ga heboh sih"
"claudiana.grt","Bukti jika perempuan-perempuan itu cerdas ... mampu menjadi detektif dan mengupas semua kejahatan😂 tapi kenapa perempuan kok tega menyakiti hati sesama perempuan.😂"
"lista.lasta","Itu lakinya gak modal?😂"
"irmahayuza","idih chat nya kaya remaja puber gitu "
"rainbowovernight","Busuk bgt kelakuan ga bersyukur ga berterima kasih punya suami kaya jeje. Jeje adalah versi nagita cowok yg sabar punya pasangan yg suka cheating"
"zatalinishabrinaa","Gatel nya syahnaz"
"fitria8695","Anak Ami Qonita smua doyan main""..."
"0403_1992","orang selingkuh tuh biasanya ngapain aja si"
"reni_pasuang","Wah gojek ketiban rezeki nih plikasinya  bakal di download semua rakyat Indonesia kalo begini 😂"
"azizahh_neta","gila doyan suami orang,gak nyangka"
"annisaahmad99","Selingkuh versi polos😂 ketahuan minta maaf.. ulangi lagi.. kaya gitu terus.. mungkin istri sah nya.. dianggap kayak keluarga yg harus ngerti kemanjaan dia😂 kurang asem garam kehidupan gini nih😂"
"zhoumin18","Maaf Kaka aku ketagihan sama suami kak lady 😂"
"marha.oktaviani","Menurut aku sih ini buat naikin film nya aja... Dan si istrinya juga biar jadi terkenal, kalo gak gini kan gak viral"
"suchi.bagaskara","Kenapa yah, Pasangan yg diselingkuhin pasti Lebih Baik daripada Selingkuhan nya??"
"aiwasnackfood","Jangan jangan anaknya syahnaz bukan dr suaminya"
"julieanasihombing","Neng @syahnazs udah hidup serba males minimal mah setia"
"indra_samudra96","kira kira wanita kalo selingkuh terima ga ya di bilang semua wanita sama?"
"chiazizikayo","tidak menyangka.. Parah"
"dina.crystina","Aa raffi gimana nih ya.. Di tunggu klarifikasinya"
"abelnc1","TItid Rendy lebih gede kali"
"dedesoena","Jaman sekarang susah bedain..mana real mana setingan😂😂"
"ziz.bab22","Loh loh loh , lagi musim nya selingkuh ya?"
"ticesar08","Parah... Mending mengalah dan tinggalkan saja ka 😪😌"
"damis_nyenyia","dari awal syahnas muncul di tv dari dulu emang aku gak suka.. ternyata gitu kan...kan..kan"
"afrisantipratiwi","gojek bisa chatting njir . shoppe juga bisa chatting"
"paracetamol.dulu_bro","chat nya kayak bocil puber baru pacaran "
"tebeprst","mungkin ini yg dinamakan lebih enak 😢"
"natasyaalisya90","geli juga bacanya"
"nellyazfar14","Nas nas... Tidur masih ngompolan kok selingkuh segala,malu tuh sama kasur bau pesing😂"
"ramjaninurul101","Suami istri gak tuh manggilnya. Gak sekalian umi abi "
"nrlffaaa__","Si Rendy itu kaya nya manfaatin doang sih, gw di kasih tau sendiri sama temen gw kalo si Rendy ini pernah pinjol"
"irasari.virdian","Sudah sejauh mana. Yang sudah rusak susah dikembalikan. Tega"
"elisaharaaaa","Aduh syahnaz.. kamu memalukan."
"attidditta","Shahnaz ini tipikal anak bungsu yg dimanjanya kelewatan sm ibu dan kakak nya jadi ga pernah ditegur kalo salah tes dapat suami yang menghamba karna level ekonominya jauh dibawah keluarga shahnaz. Mirip sama adek ipar gw..selingkuh sampe kabur keluar negeri ninggalin anak nya ga ada yg bisa marahin."
"alvina.rs","Istri sah fbi paling handal sedunia jangan macem-macem lah mau ngeles kek gimana ketauan juga🙂"
"agustina.olaina","Di Indonesia masalah selingkuh sudah jadi trend.🤔"
"annisaasantoso_","beneran gak sih ?"
"_aleale03","Puber kedua,puber apa puber sih😂"
"nitya_setiati","Terlepas dari itu benar atau engga. Ga ada di pihak manapun. Sebagai netizen Budiman 🤭🤭🤭 Maaf ni yaa, menurut saya, tato itu malah terlihat mirip istrinya."
"uncle_gading","Ini mah gimick,pasti mau naikin sesuatu, tinggal tunggu doang kabarnya,marketing ujung ujungnya"
"radengagahshrto","Emang kasih emotikon cium love dll harus sebanyak itu kali kalo sama pasangan?"
"riyantiwinda085","Gakk nyangka ajah sih kenapa harus cari masalah biar pro pdahal dia mereka udah sempurna dalam sisi kehidupan punya anak kembar suami ganteng setia orang bangsawan pula gak bisa bayangin hancur semua dalam sekejap Raffi sifat plaboy kamu nurun ke adek "
"suci_sikumbang1988","Dari perselingkuhan jangan hanya nyalahin cewek nya.. Harus dua dua nya yang di salahkan.. Si cowo juga kenapa feedback padahal udah punya anak bini juga... Se gatel gatel nya ulat bulu kalau cowok nya tetap setia gak bakal juga akan tergoda... Nah salah dua dua nya lah kalau menurut aku.. Emang yaa rumput tetangga lebih indah wkwkwkwk"
"a_____yumaya","Tahun dimana perselingkuhan merajalela. 😂😂😂"
"arlin0797","Miris... Tidak pernah bersukur dengan apa yg ada di rumah tangganya, selalu merasa kurang hanya nafsu yg di utamakan awal nya suka banget sama shanaz tapj jadi ilfell"
"echa68627","Pada selingkuh gak inget anak anak nya gimana parah sii "
"firmawatijibfa01","ih gila bener sampe sebadan di tato wajahnya si syahnaz.. tato wajah anak secuil pun ga ada.. parah pake banget"
"dickykacanegara","chatnya kayak anak SMP"
"acha.mecca","Cocok ih bedua sama-sama ga good looking dan sama-sama tidak good attitude"
"nicko_guns97","Lagi mabuk cinta emang sudah dibendung..biarkan dia pergi aja"
"abdgofur365","Udah ga layak dipertahankan... Lepasin aja mbak"
"lusi.luci_","Selingkuh adalah tindakan tidak termaafkan. Dia sengaja bukan khilaf. Jangan percaya kalo bilang hilang. kesal banget denger perselingkuhan"
"pvaniautm"," @syahnazs kurang BERSYUKUR, jeje @ritchieismail udh seperfect itu loh "
"ambukmanjari","Makanya gak usah nikah dah paling bener 🙌"
"dinasabila19","Tim menunggu klarifikasi"
"uwie_zachro","Walah .. Jangan-jangan keluarga demen selingkuh kaka dan adik sama 😂😂😂"
"hscorpioxyz","Ketikan chatnya ga banget kaya anak sd pacaran ngakak"
"teh_manis93","Shahnaz tidak bersyukur"
"bangbengggg","Cerita hangat ni, terutama untuk yg selalu di kasih semangat tapi bukan siapa siapanya👏👏👏😂"
"tywsiityw","Udah turunan kali yaaaa🤣"
"irwanti_25","Buah jatuh gak jauh dari pohon"
"indry_zalva_ramlan","maaf tapi kalau soal tato ini kayanya agak berlebihan ya, kalau istri nya nuduh itu mirip sama wajah syahnaz, karna perasaan tidak ada mirip-mirip nya"
"shairakebaya","Bentar lagi ladynayoan dijadiin ambasador atau direktur ama dokter richard yg punya kecantikan 😂😂😂"
"vanvaan665","Kacau ya 🥸"
"rikirukmana6","Siang suami❤️❤️❤️❤️suami orang tentunya."
"yulira25","sabar amat ngadepinnya kak, bawa chat suami lagi di ayang-ayang in SaMa selingkuhan,,, .. padahal ka syanaz suaminya ganteng, anaknya juga lucu-lucu,"
"ook_oka14","Mungkin sama"" kurang puas 😂"
"dinaasvisca","Paling setingan...sudah biasa.."
"ngulonin78","Cuma setingan buat rating doang"
"batikbule","Bisa kayanya pesen ayang di aplikasi gojek, mengurangi populasi jomblo 🤣"
"hanum.463","Yang Paranormal Bilang Insial R Itu Kayanya Ini Kan 😄😅"
"jhuliachantika91","Dulu jijik sama ayutingting, nah kalo sekarang apa ya istri orang gatal sama suami orang.,"
"dobleyj","Dimana-mana beritanya selingkuh 🙌😂"
"rumah_abim","Nyari apa lagi ya😢"
"nurmoyz192","Alay banget, cabe-cabe an aja kalah sama si Syahnaz. Kayaknya kurang pergaulan waktu sekolah makannya baru alay sekarang 😂😂😂😂."
"nenk1404","Sahnaz sampe lupa anak ama suami😂 kalau pun mereka jadi..keluarga andara pasti ga akan suka sama laki nya.... pasti sekarang si sahnaz lagi di ceramahin ama keluarga nya"
"rue_aradea","Urusan selakangan emang bikin beda"
"oddre.yy","kocak lu, typing si syahnaz alay banget😂"
"dapur_izma","Aku baru tau kalau aplikasi gojek ada fitur buat ayang²an 😂🤣"
"abcdef_rdn","Chatnya kayak anak baru puber 🤣🤣"
"rdcitra_","Orang tua yg egois itu yg kek gini ni"
"hannamicisoranoy","udah sama-sama ber-keluarga ga bakal tuh selingkuh cuman chat-chat an ya"
"endangsucianty","Bener kata ....R lagi yg viral di tahun ini R dan S...😮"
"pecinta_batik","Kelanjutannya dong.. udah bosen baca yang ini berkali-kali 😂"
"neng_ula_","Kurang apa sih lo? @syahnazs . Suami ganteng, tajir, anak kembar pinter, masih goda suami orang 🔥 kalau pun lu yg di goda, inget udah berkeluarga semua 😡"
"putri_mm25","Malu sampe ubun-ubun itu mah"
"hanny.wati","Inti nya kurang bersyukur"
"bungaherminaa","😢 gak ngerti lagi"
"viak_rna","Jangan-jangan sponsor gojek 🤣"
"lulu_adzkia","aduh ada-ada aja yah , padahal banyak banget contohnya kalo peselingkuhan pasti ujung-ujung nya pisah tapi kok yaa masih di jalanin aja"
"moyaanugraini","Duhhh malu dong sama sang kakak Andara..."
"evans__ss","Selingkuh itu terjadi karna perempuannya yang gatal dan mau digoda-goda..."
"myrrxxa_","Jeee, lu dah sempurna cuma kurang emot aja. "
"ayurindani31","Baca chat nya ngakak kayak anak esdeh 🤣🤣🤣"
"indriatharalika","Masing-masing punya pasangan  yang sayang banget sama mereka, tapi ko ya masih kurang aja.. emang ya rumput tetangga lebih hijau dari rumput diteras rumah sendiri.. "
"putri_ardhipangestu21","aduh gak tau diri bgt"
"elvy_fatma","Kok bisaa se alay ini ya isi chat nya 😂 kayak ABG lagi jatuh cinta"
